"esqp_01" "esqp_02" "esqp_03" "esqp_04" "esqp_05" "esqp_06" "esqp_07" "esqp_08" "esqp_09" "esqp_10" "esqp_11" "esqp_12"
"194" 1 1 1 1 1 1 1 1 2 1 1 1
"195" 1 1 1 1 1 1 1 1 2 1 1 1
"196" 1 1 1 1 1 1 NA 1 1 1 1 1
"197" 1 1 1 2 2 NA 2 1 2 1 1 2
"198" 1 1 1 1 2 1 2 1 1 1 1 1
"199" 1 1 1 1 2 1 2 1 1 1 1 1
"200" 1 1 1 1 2 2 2 2 3 3 1 1
"201" 1 1 1 1 1 1 1 1 2 1 1 1
"202" 1 1 1 1 1 1 1 1 2 1 1 1
"203" 1 1 1 1 1 1 1 1 1 1 1 1
"204" 1 1 1 1 1 1 1 1 1 1 1 1
"205" 1 1 1 1 1 2 2 1 2 1 1 1
"206" 1 2 1 1 2 NA 1 1 1 2 1 1
"207" 1 2 1 1 2 NA 1 1 1 2 1 1
"208" 1 1 1 1 1 1 1 1 1 1 1 1
"209" 1 1 1 1 1 1 1 1 1 1 1 1
"210" 1 1 1 1 1 1 1 1 1 1 1 1
"211" 1 1 1 1 3 2 3 1 1 1 1 2
"212" 1 1 1 1 3 2 3 1 1 1 1 2
"213" 1 1 1 1 2 1 1 1 1 1 1 1
"214" 1 1 1 1 1 1 1 1 1 1 1 1
"215" 1 1 1 1 1 1 1 2 3 2 1 1
"216" 2 2 2 2 3 3 3 2 2 2 2 2
"217" 2 1 1 2 2 2 2 2 3 2 1 1
"218" 2 1 1 2 2 2 2 2 3 2 1 1
"219" 2 2 1 1 1 1 1 2 2 2 1 1
"220" 2 2 2 2 2 2 2 2 2 2 2 2
"221" 2 2 2 2 2 2 2 2 2 2 2 2
"222" 2 2 2 2 3 3 3 2 2 2 2 2
"223" 2 2 2 2 3 3 3 2 2 2 2 2
"224" 2 2 2 2 2 2 2 1 2 2 2 2
"225" 2 2 2 2 2 2 2 1 2 2 2 2
"226" 2 1 1 1 1 3 1 1 3 1 1 1
"227" 2 1 1 1 1 3 1 1 3 1 1 1
"228" 1 1 1 1 2 2 2 1 2 2 1 1
"229" 1 1 1 1 2 2 NA 1 3 1 2 2
"230" 1 1 1 1 1 1 1 1 1 1 1 1
"231" 1 1 1 1 1 1 1 1 1 1 1 1
"232" 1 1 1 1 2 2 1 2 2 2 NA 1
"233" 1 1 1 1 2 2 1 2 2 2 NA 1
"234" 1 1 1 1 1 1 1 1 1 1 1 1
"235" 1 1 1 1 1 1 1 1 1 1 1 1
"236" 1 1 1 1 1 1 1 1 1 1 1 1
"237" 1 1 1 1 1 1 1 1 1 1 1 1
"238" 1 1 1 1 1 1 1 2 2 2 1 1
"239" 1 1 1 1 1 1 1 2 2 2 1 1
"240" 1 1 1 1 2 2 2 2 1 NA 1 1
"241" 1 1 1 1 1 1 1 1 1 1 1 1
"242" 1 1 1 1 1 1 1 1 1 1 1 1
"243" 1 1 1 1 2 3 2 1 1 1 2 2
"244" 1 1 1 1 1 1 2 1 2 1 1 2
"245" 1 1 1 1 1 1 2 1 2 1 1 2
"246" 1 3 1 1 2 NA 1 2 3 1 1 2
"247" 1 1 1 1 2 2 2 1 1 1 1 1
"248" 1 1 1 1 2 2 2 1 1 1 1 1
"249" 1 1 1 1 1 1 1 1 1 1 1 1
"250" 1 1 1 1 1 1 1 1 1 1 1 1
"251" 1 1 1 1 NA 1 1 1 1 1 1 1
"252" 1 1 1 1 NA 1 1 1 1 1 1 1
"253" 1 1 1 1 1 1 1 1 2 1 1 1
"254" 1 1 1 1 1 1 1 1 2 1 1 1
"255" 1 1 1 1 1 1 1 1 2 1 1 1
"256" 1 1 1 1 1 1 1 1 1 1 1 1
"257" 1 1 1 1 1 1 1 1 1 1 1 1
"258" 1 1 1 1 2 2 2 1 1 1 1 1
"259" 1 1 1 1 2 2 2 1 1 1 1 1
"260" 1 1 1 1 1 1 1 1 1 1 1 1
"261" 1 1 1 1 1 1 1 1 1 1 1 1
"262" 1 1 1 1 2 2 1 2 2 1 1 1
"263" 1 1 1 1 2 2 1 2 2 1 1 1
"264" 1 1 1 1 1 1 1 1 1 1 1 1
"265" 1 1 1 1 2 2 2 1 2 2 1 1
"266" 1 1 1 1 1 1 2 1 1 1 1 1
"267" 1 1 1 1 1 1 1 1 2 1 1 1
"268" 2 1 1 2 3 3 3 2 3 1 2 2
"269" 2 2 1 2 2 2 2 1 1 1 1 1
"270" 2 2 1 1 3 2 2 1 1 2 3 2
"271" 2 1 1 1 2 1 2 1 3 1 2 1
"272" 2 1 1 1 2 1 2 1 3 1 2 1
"273" 2 1 1 2 2 2 3 1 1 1 2 2
"274" 3 2 1 3 3 2 1 1 2 1 2 2
"275" 3 2 NA 3 2 3 3 2 2 3 NA NA
"276" 3 2 NA 3 2 3 3 2 2 3 NA NA
"277" NA 3 3 3 3 3 3 3 3 3 3 3
"278" 1 1 1 1 2 2 2 1 2 2 1 1
"279" 1 1 1 1 1 1 1 1 1 1 1 1
"280" 1 1 1 1 NA 1 NA 1 NA 3 NA NA
"281" 1 1 1 1 1 1 1 1 1 1 1 1
"282" 1 1 1 1 2 1 1 1 1 2 1 1
"283" 1 1 1 1 1 1 1 1 2 1 1 1
"284" 1 1 1 1 1 1 1 1 2 1 1 1
"285" 1 1 1 1 2 2 2 1 1 1 1 2
"286" 1 1 1 1 1 1 1 1 1 1 1 1
"287" 1 1 1 1 1 1 1 1 1 1 1 1
"288" 1 1 1 1 1 1 1 1 1 1 1 1
"289" 1 1 1 1 1 1 1 1 1 1 1 1
"290" 1 1 1 1 1 1 1 1 1 1 1 1
"291" 1 1 1 1 2 1 1 1 1 1 1 1
"292" 1 1 1 1 2 1 1 1 1 1 1 1
"293" 1 1 1 2 2 1 1 2 1 1 1 2
"294" 1 1 1 2 NA 2 NA 1 1 1 1 1
"295" 1 1 1 2 NA 2 NA 1 1 1 1 1
"296" 1 1 1 1 1 1 1 1 1 1 1 1
"297" 1 1 1 1 1 1 1 1 1 1 1 1
"298" 1 1 1 1 1 1 1 1 1 1 1 1
